total_number_account,Amount_Allocated,Amount_Collected,Account_number,Cusstomer Name ,No_unique_visit,Bucket,Agency Name,Regions,Zone,Sector,product_type
1705,80716,16080,S84140239934964B,Yhrhht Tspcfz,15,SMA 2,Agency 2,Chhattisgarh,East + Central India,Food and Beverage,Car Loan
2483,224030,224029,Y75311379172781Z,Gjlkup Mrfaho,18,SMA 1,Agency 8,Madhya Pradesh,East + Union Territories,Finance,Personal Loan
506,232727,103398,W98680090327829X,Jtheze Khhzar,17,SMA 1,Agency 1,Andaman and Nicobar Islands,West + Northeast India,Technology,Personal Loan
1412,156743,156742,D95594036213281W,Exuqzj Anbavd,20,SMA 2,Agency 4,Chandigarh,West + Central India,Retail,Business Loan
562,87119,5799,E77423777848321C,Pmsbje Skqpqg,15,SMA 0,Agency 4,Dadra and Nagar Haveli and Daman and Diu,West + Union Territories,Pharmaceuticals,Mortgage Loan
2292,202838,82195,A98649684068959M,Hfulwk Ulkqyf,17,SMA 0,Agency 1,Lakshadweep,Northeast + Central India,Healthcare,Loan Against Property
985,148196,148195,V70029688763094H,Xpzyjw Irtjgf,13,SMA 0,Agency 1,Puducherry,Northeast + Union Territories,Food and Beverage,Home Loan
1300,229099,190680,A59805780621726H,Utgnkv Vkhuwl,20,SMA 1,Agency 6,Delhi,Central + Union Territories,Retail,Consumer Durable Loan
925,113006,82728,T73579548036456Z,Ngiuth Efvxej,17,SMA 2,Agency 7,Haryana,North + East India,Finance,Gold Loan
1453,216791,216045,Z85662832118952W,Zqtnpx Vkgjvr,10,SMA 1,Agency 3,Himachal Pradesh,North + West India,Automotive,Business Loan
1468,143075,111035,G44078085171432W,Bpgast Mphrxq,16,SMA 2,Agency 2,Jammu and Kashmir,North + Northeast India,Technology,Overdraft Facility
2071,130433,74140,T13457339066285U,Wbndig Bdudgo,17,SMA 0,Agency 2,Punjab,North + Central India,Healthcare,Business Loan
2376,229700,229699,C50711985619262M,Wyfppz Jghrru,15,SMA 1,Agency 4,Rajasthan,North + Union Territories,Manufacturing,Overdraft Facility
1646,205459,95598,A54898572272460A,Zxxlkj Uysjkj,17,SMA 0,Agency 2,Uttar Pradesh,South + East India,Food and Beverage,Car Loan
468,50952,50951,A97111766501726F,Gjfava Vthbeb,16,SMA 2,Agency 2,Uttarakhand,South + West India,Energy,Overdraft Facility
259,49385,49384,K66970483030765L,Rzlfmo Jktlur,10,SMA 1,Agency 6,Andhra Pradesh,South + Northeast India,Automotive,Car Loan
921,207226,33598,K44729123413978A,Xjgekc Jecuhb,19,SMA 2,Agency 6,Karnataka,South + Central India,Manufacturing,Gold Loan
371,232363,222403,B48266979358831I,Sfuirz Bfqozo,15,SMA 0,Agency 7,Kerala,South + Union Territories,Energy,Gold Loan
1925,34326,34325,K66164417605729R,Zuwnjl Smjslm,16,SMA 2,Agency 8,Tamil Nadu,East + West India,Healthcare,Business Loan
601,65085,65084,F84303038639297S,Wpangr Zmgeia,12,SMA 0,Agency 6,Telangana,East + Northeast India,Manufacturing,Mortgage Loan
1476,187704,22981,E37618153976589N,Jxbjvd Edwmey,19,SMA 1,Agency 7,Bihar,East + Central India,Retail,Home Loan
1178,196205,58023,F93223776251237M,Rjeijn Uokwxw,12,SMA 0,Agency 2,Jharkhand,East + Union Territories,Manufacturing,Home Loan
2485,69149,69148,J73629457900446F,Jncwrg Ldhzio,17,SMA 2,Agency 2,Odisha,West + Northeast India,Energy,Loan Against Property
287,37754,37753,E27352761868970Z,Zhymiw Mwlspv,15,SMA 1,Agency 3,West Bengal,West + Central India,Manufacturing,Personal Loan
1857,4324,4323,D90075214760658A,Hfrlqr Exvmng,14,SMA 1,Agency 7,Sikkim,West + Union Territories,Energy,Overdraft Facility
1300,205645,205644,A16619619385837P,Dabkdp Ynypnr,10,SMA 2,Agency 8,Andaman and Nicobar Islands,Northeast + Central India,Technology,Education Loan
1747,136485,136484,W72392681401649Z,Yuptsh Hhxvnt,18,SMA 2,Agency 3,Goa,Northeast + Union Territories,Automotive,Consumer Durable Loan
1433,177097,131353,N25111336594850T,Vmnanf Djnbyw,17,SMA 1,Agency 5,Gujarat,Central + Union Territories,Energy,Gold Loan
1261,69017,69016,P29765130279616L,Jupqkr Niwpve,12,SMA 2,Agency 7,Maharashtra,North + East India,Telecommunications,Consumer Durable Loan
1879,163990,86473,F78688724510839Z,Lymldf Ynitja,12,SMA 0,Agency 4,Dadra and Nagar Haveli and Daman and Diu,North + West India,Telecommunications,Personal Loan
2354,26374,26373,J12322145361667V,Zcdvfz Szqyqz,12,SMA 0,Agency 2,Arunachal Pradesh,North + Northeast India,Technology,Home Loan
1556,114619,101899,I99698925471400R,Ijrrnp Yqfxko,12,SMA 0,Agency 1,Assam,North + Central India,Energy,Car Loan
114,182726,154860,L31880515917626M,Yjviol Tmduhj,15,SMA 1,Agency 8,Manipur,North + Union Territories,Technology,Gold Loan
253,214313,48018,V41140476229576P,Gyvzjc Zakxrv,15,SMA 2,Agency 7,Meghalaya,South + East India,Manufacturing,Education Loan
2303,204309,200656,P40422165794764I,Eukdzr Hwedwx,11,SMA 0,Agency 2,Mizoram,South + West India,Telecommunications,Personal Loan
1817,9694,9693,W31209232403362I,Tgfhjp Snlepz,20,SMA 1,Agency 1,Nagaland,South + Northeast India,Energy,Mortgage Loan
754,24612,24611,V39542360279411M,Bmolsy Utqzji,20,SMA 1,Agency 1,Tripura,South + Central India,Telecommunications,Mortgage Loan
715,246265,48644,M70087676237086B,Qahvzk Eygoqi,13,SMA 2,Agency 4,and the hill states of Himachal Pradesh,South + Union Territories,Healthcare,Business Loan
1605,124816,717,Q20299825395243E,Orcyrc Rpawww,14,SMA 1,Agency 2,Tripura,East + West India,Telecommunications,Consumer Durable Loan
199,42159,42158,T41229252995771O,Qonwxj Byofwk,20,SMA 0,Agency 2,and Sikkim,East + Northeast India,Finance,Car Loan
1063,39530,39529,F37938185920995F,Qrcmor Bkrspb,13,SMA 1,Agency 4,Chhattisgarh,East + Central India,Retail,Consumer Durable Loan
1552,246635,181731,Q20454000414946I,Oubmaw Msdhwc,13,SMA 1,Agency 2,Madhya Pradesh,East + Union Territories,Manufacturing,Home Loan
2134,147049,147048,P13158111200524R,Tismma Tzaetq,19,SMA 1,Agency 6,Andaman and Nicobar Islands,West + Northeast India,Technology,Personal Loan
1325,142368,142367,J78370762387830N,Mchsgz Pxkcam,13,SMA 2,Agency 1,Chandigarh,West + Central India,Energy,Consumer Durable Loan
464,70429,70428,U69247124370433B,Wdfvix Ayoyvr,18,SMA 1,Agency 8,Dadra and Nagar Haveli and Daman and Diu,West + Union Territories,Finance,Business Loan
2263,16991,16990,O94824577449207G,Ldvmng Gtptmo,10,SMA 0,Agency 5,Lakshadweep,Northeast + Central India,Automotive,Loan Against Property
891,83061,22014,M92721336940733W,Baljdr Amipvm,11,SMA 0,Agency 7,Delhi,Northeast + Union Territories,Healthcare,Personal Loan
1675,68156,68155,B33041678030864F,Jfkzpe Iokquv,16,SMA 2,Agency 4,Haryana,Central + Union Territories,Food and Beverage,Education Loan
2029,215223,198901,H49272104636460Q,Xivftf Irbtfl,12,SMA 1,Agency 8,Himachal Pradesh,North + East India,Energy,Gold Loan
227,208410,208409,O71707566988037L,Zuvwkq Fnjshr,10,SMA 0,Agency 7,Jammu and Kashmir,North + West India,Pharmaceuticals,Car Loan
355,111688,5857,X49936969566665L,Gwprwj Dekryx,15,SMA 0,Agency 4,Punjab,North + Northeast India,Finance,Personal Loan
1845,233061,195775,L43400333581188C,Umhjlu Gcnfqj,11,SMA 0,Agency 2,Rajasthan,North + Central India,Manufacturing,Personal Loan
1417,241588,223210,F45800586933028P,Wyyrvf Yxgpap,19,SMA 2,Agency 2,Uttar Pradesh,North + Union Territories,Energy,Car Loan
1669,52864,42937,I68530794129145V,Totlbv Yskolm,16,SMA 0,Agency 4,Uttarakhand,South + East India,Healthcare,Car Loan
1330,207122,66352,F93782247318374S,Dbihfg Fpqfep,16,SMA 1,Agency 5,Andhra Pradesh,South + West India,Finance,Home Loan
2409,65941,36317,E56200593886374S,Mjkouv Vnzzji,12,SMA 2,Agency 3,Karnataka,South + Northeast India,Telecommunications,Car Loan
623,4358,4357,C90233421760160D,Nlryqe Byfbft,16,SMA 2,Agency 4,Kerala,South + Central India,Energy,Mortgage Loan
618,111168,72999,Z65260566989364Y,Itroeb Xhhlwf,11,SMA 2,Agency 8,Tamil Nadu,South + Union Territories,Food and Beverage,Education Loan
915,7673,7672,R53694649635053I,Hgtvxb Ltsqrx,15,SMA 1,Agency 7,Telangana,East + West India,Automotive,Loan Against Property
1534,48217,48216,T52635834763302O,Hsmusz Mcnnqo,13,SMA 1,Agency 7,Bihar,East + Northeast India,Automotive,Car Loan
1263,57689,56090,P14025111937844Z,Hnyhyf Rbuyup,20,SMA 0,Agency 3,Jharkhand,East + Central India,Food and Beverage,Business Loan
314,209911,182708,P15361842707202Y,Ouyzib Ktbnpp,12,SMA 1,Agency 7,Odisha,East + Union Territories,Automotive,Loan Against Property
1661,7135,7134,N12361218135635I,Vevwkw Takiib,20,SMA 2,Agency 1,West Bengal,West + Northeast India,Retail,Mortgage Loan
2353,158858,158857,Z37016140864415P,Neacul Ngovol,12,SMA 2,Agency 3,Sikkim,West + Central India,Food and Beverage,Car Loan
1148,107912,93118,Z36020843357249P,Ywnipl Turizx,15,SMA 2,Agency 2,Andaman and Nicobar Islands,West + Union Territories,Manufacturing,Loan Against Property
550,110545,50010,H41385744202982Z,Cojkpm Nqionx,16,SMA 1,Agency 7,Goa,Northeast + Central India,Pharmaceuticals,Consumer Durable Loan
2328,160981,128936,E85204810073983M,Bfhdij Lmfqdy,17,SMA 2,Agency 8,Gujarat,Northeast + Union Territories,Manufacturing,Mortgage Loan
2359,37784,32319,S86867785720766D,Otpsov Ffpdgn,16,SMA 2,Agency 6,Maharashtra,Central + Union Territories,Food and Beverage,Overdraft Facility
902,85894,85893,H12836475055105C,Kaiczm Jngmkn,12,SMA 0,Agency 6,Dadra and Nagar Haveli and Daman and Diu,North + East India,Telecommunications,Mortgage Loan
1305,205578,205577,Y93221954999268F,Xmpwzg Tooqbd,18,SMA 0,Agency 4,Arunachal Pradesh,North + West India,Finance,Loan Against Property
1925,45400,45399,G38472218181879P,Tiujqv Thvzlk,12,SMA 2,Agency 2,Assam,North + Northeast India,Finance,Loan Against Property
1631,124723,124722,R10804968959718Q,Qovqjx Rdbpfe,12,SMA 1,Agency 2,Manipur,North + Central India,Finance,Loan Against Property
1489,210455,54845,Z77211781517550P,Zdrpxh Smutvk,14,SMA 2,Agency 8,Meghalaya,North + Union Territories,Healthcare,Education Loan
2491,168744,107715,P59031227588627K,Sstnvv Btvuaj,17,SMA 2,Agency 3,Mizoram,South + East India,Pharmaceuticals,Personal Loan
2355,35626,35625,V25820260029298N,Tkeltp Dzihbn,17,SMA 2,Agency 8,Nagaland,South + West India,Manufacturing,Loan Against Property
2117,2099,2098,K52451340767753F,Toscso Sstnih,16,SMA 1,Agency 3,Tripura,South + Northeast India,Healthcare,Home Loan
1916,147028,31715,V49160327449645D,Pnlbef Uhsvlb,13,SMA 0,Agency 2,and the hill states of Himachal Pradesh,South + Central India,Retail,Personal Loan
1616,201372,201371,M42646479016290W,Vmvvip Bmaoyi,13,SMA 2,Agency 4,Tripura,South + Union Territories,Manufacturing,Personal Loan
892,11431,11430,B72369257892520I,Jlejbx Wggcuv,13,SMA 1,Agency 6,and Sikkim,East + West India,Automotive,Home Loan
394,168628,168627,W10215444670764E,Sjscxy Wrgzql,11,SMA 2,Agency 7,Chhattisgarh,East + Northeast India,Retail,Education Loan
1396,166823,142785,Q40261814477688F,Qzlnwg Ubrdei,13,SMA 1,Agency 1,Madhya Pradesh,East + Central India,Technology,Education Loan
2093,40294,40293,L17332414441111H,Ylxtsm Porugf,13,SMA 1,Agency 6,Andaman and Nicobar Islands,East + Union Territories,Energy,Overdraft Facility
1471,123645,34265,U17016373698327O,Rvxjjz Iokvag,10,SMA 2,Agency 4,Chandigarh,West + Northeast India,Pharmaceuticals,Loan Against Property
558,56029,17175,O18582143068778P,Qrjuea Kupbdi,14,SMA 2,Agency 8,Dadra and Nagar Haveli and Daman and Diu,West + Central India,Retail,Home Loan
2209,40955,40954,O87138478236270R,Esiaby Azwmah,14,SMA 0,Agency 5,Lakshadweep,West + Union Territories,Automotive,Gold Loan
719,181733,127368,D15761857751204Y,Aztpoi Ltvdpe,20,SMA 2,Agency 2,Puducherry,Northeast + Central India,Technology,Personal Loan
993,197343,28196,V45138792929687M,Nibmet Lzoxge,20,SMA 0,Agency 4,Delhi,Northeast + Union Territories,Automotive,Car Loan
1206,173054,173053,Y36030773837669O,Xpflll Nkeuzd,13,SMA 1,Agency 3,Haryana,Central + Union Territories,Food and Beverage,Car Loan
322,148638,148637,N72390961093210S,Symyzf Wpkvvi,18,SMA 2,Agency 1,Himachal Pradesh,North + East India,Pharmaceuticals,Business Loan
421,230751,79847,F91779597109896J,Jlrgsh Bprjyw,11,SMA 0,Agency 2,Jammu and Kashmir,North + West India,Technology,Gold Loan
765,246362,213900,Y57795237518750A,Fwzbpi Atxead,15,SMA 2,Agency 8,Punjab,North + Northeast India,Technology,Gold Loan
269,205784,6534,F98823012083245E,Uzgyuo Iidsra,13,SMA 0,Agency 5,Rajasthan,North + Central India,Automotive,Education Loan
2237,97978,93429,C89573771317656Q,Siflcl Dyzios,12,SMA 0,Agency 6,Uttar Pradesh,North + Union Territories,Healthcare,Education Loan
1485,100789,94625,G42671346960073R,Ceuzru Riflcj,14,SMA 0,Agency 2,Uttarakhand,South + East India,Energy,Gold Loan
1465,239190,116220,O66292971121263I,Bxnopg Ohkkfy,11,SMA 1,Agency 8,Andhra Pradesh,South + West India,Automotive,Car Loan
755,118937,32210,L43435952588666F,Bfjygs Oxuzpn,14,SMA 0,Agency 5,Karnataka,South + Northeast India,Energy,Business Loan
458,81300,59723,E74937221268233O,Pagvrz Lrnusw,13,SMA 0,Agency 1,Kerala,South + Central India,Healthcare,Gold Loan
2093,229874,205622,C48018769751880U,Zkhhix Wrtuha,18,SMA 1,Agency 4,Tamil Nadu,South + Union Territories,Pharmaceuticals,Overdraft Facility
1454,49820,49819,M66299911974510P,Eimlqg Uivmwk,12,SMA 1,Agency 6,Telangana,East + West India,Pharmaceuticals,Loan Against Property
840,219772,105424,C46187861863127C,Hwqfik Wqoqaj,11,SMA 2,Agency 6,Bihar,East + Northeast India,Healthcare,Mortgage Loan
1862,210297,210296,N22503036108378L,Wrbfls Kybpga,16,SMA 2,Agency 1,Jharkhand,East + Central India,Retail,Personal Loan
1853,130625,130624,Y83061348958448Y,Zskhxv Doeeju,14,SMA 1,Agency 7,Odisha,East + Union Territories,Healthcare,Personal Loan
709,151017,112726,N38584774426243C,Idhmfy Ebyqmz,19,SMA 1,Agency 5,West Bengal,West + Northeast India,Manufacturing,Business Loan
1918,37162,37161,H13099161006047J,Zbciyp Xvojfg,10,SMA 1,Agency 1,Sikkim,West + Central India,Energy,Business Loan
1883,164112,164111,J77779456761739O,Dsbjhe Iwewzz,17,SMA 2,Agency 8,Andaman and Nicobar Islands,West + Union Territories,Telecommunications,Consumer Durable Loan
711,240017,121828,C26368471403950O,Dqbnvg Anpqog,14,SMA 2,Agency 5,Goa,Northeast + Central India,Energy,Consumer Durable Loan
1019,9656,9655,O24111652241144S,Vyaaeu Jysxgu,17,SMA 0,Agency 6,Gujarat,Northeast + Union Territories,Food and Beverage,Business Loan
2082,104751,104750,K94760353659611U,Uhalsj Pwjuzh,18,SMA 0,Agency 8,Maharashtra,Central + Union Territories,Retail,Business Loan
1324,20695,20694,U48412650749214S,Eiylia Jubeoa,13,SMA 1,Agency 3,Dadra and Nagar Haveli and Daman and Diu,North + East India,Healthcare,Business Loan
777,146886,131761,V25710257593167U,Ybrcdt Qxagid,16,SMA 0,Agency 5,Arunachal Pradesh,North + West India,Technology,Overdraft Facility
449,46632,46631,U31289477424914Q,Thiyil Xiszde,13,SMA 1,Agency 5,Assam,North + Northeast India,Finance,Mortgage Loan
577,166664,166663,C28139768805026H,Hwlugm Wqjnhk,14,SMA 0,Agency 5,Manipur,North + Central India,Technology,Personal Loan
208,108819,35557,J92145344738066Y,Vyxfrl Aonuvn,19,SMA 1,Agency 5,Meghalaya,North + Union Territories,Automotive,Gold Loan
2014,37654,37653,Q45339580896865M,Sclyen Yzbkha,18,SMA 0,Agency 2,Mizoram,South + East India,Technology,Education Loan
1406,27401,7148,Y56841022048976B,Cfubdi Gcyafj,15,SMA 0,Agency 7,Nagaland,South + West India,Food and Beverage,Consumer Durable Loan
2454,10286,10285,H37568162788636Y,Wdveso Hhjwgz,14,SMA 1,Agency 3,Tripura,South + Northeast India,Telecommunications,Overdraft Facility
2235,29428,23556,Y49831946348462I,Owqvmo Mmyhws,14,SMA 1,Agency 8,and the hill states of Himachal Pradesh,South + Central India,Technology,Personal Loan
1866,141294,141293,V65132446301471Q,Osjzmp Wgbrih,19,SMA 0,Agency 6,Tripura,South + Union Territories,Pharmaceuticals,Home Loan
1587,170583,170582,S70874832724640V,Esbsvi Splaya,15,SMA 2,Agency 8,and Sikkim,East + West India,Food and Beverage,Consumer Durable Loan
915,116583,116582,P73563411351741C,Zerdik Reycdl,19,SMA 0,Agency 3,Chhattisgarh,East + Northeast India,Food and Beverage,Mortgage Loan
896,205452,205451,S82587234193094C,Ahqayk Ztdwbt,12,SMA 2,Agency 1,Madhya Pradesh,East + Central India,Retail,Business Loan
976,61805,61804,Q46400034437611P,Lyzpuw Cjjhsw,17,SMA 2,Agency 4,Andaman and Nicobar Islands,East + Union Territories,Manufacturing,Business Loan
448,239066,35775,S21176400545400M,Issthh Ltmrcy,13,SMA 0,Agency 3,Chandigarh,West + Northeast India,Telecommunications,Business Loan
2030,141207,141206,C61447906782511F,Dsggrs Vbiyzk,14,SMA 0,Agency 4,Dadra and Nagar Haveli and Daman and Diu,West + Central India,Retail,Loan Against Property
1275,220471,154821,K13530283710100J,Ewcfrs Ghjaxn,11,SMA 2,Agency 3,Lakshadweep,West + Union Territories,Healthcare,Consumer Durable Loan
1315,169496,116834,Q31654910305905P,Jjdngr Psdfzj,16,SMA 2,Agency 6,Puducherry,Northeast + Central India,Energy,Gold Loan
705,180454,9665,J17929642055551E,Plxgqc Uyomeo,11,SMA 0,Agency 4,Delhi,Northeast + Union Territories,Energy,Overdraft Facility
166,45138,45137,Q10609570782710Q,Olrhbi Vctlak,16,SMA 2,Agency 3,Haryana,Central + Union Territories,Manufacturing,Business Loan
1714,41939,41938,Z76805072883986N,Arhtrn Rpmdqs,14,SMA 1,Agency 5,Himachal Pradesh,North + East India,Food and Beverage,Gold Loan
1268,109321,98332,T68219284975117P,Qpdqul Djibzs,12,SMA 1,Agency 4,Jammu and Kashmir,North + West India,Retail,Gold Loan
1357,73227,73226,W13592335258951J,Drtiaa Qyndgt,13,SMA 2,Agency 1,Punjab,North + Northeast India,Technology,Education Loan
1228,104300,104299,Z61625423669003X,Inauhv Qlkcab,19,SMA 2,Agency 4,Rajasthan,North + Central India,Pharmaceuticals,Gold Loan
1763,177996,177995,S82252047771704N,Tvsiys Vfsubc,13,SMA 2,Agency 7,Uttar Pradesh,North + Union Territories,Healthcare,Car Loan
2055,94047,27924,X64127846678559M,Jmlmvj Mteeyl,14,SMA 2,Agency 6,Uttarakhand,South + East India,Retail,Personal Loan
2332,140397,140396,F13548785263428B,Pozjep Pihvfj,15,SMA 0,Agency 7,Andhra Pradesh,South + West India,Healthcare,Car Loan
143,18369,18368,K56226588575346U,Jllerg Uvlpvd,10,SMA 2,Agency 3,Karnataka,South + Northeast India,Telecommunications,Car Loan
532,47751,2985,O85992851268896R,Zbrrrd Ralmwp,14,SMA 2,Agency 6,Kerala,South + Central India,Automotive,Education Loan
381,179761,179760,B15571348413224R,Qezjzh Uxgqqk,18,SMA 2,Agency 5,Tamil Nadu,South + Union Territories,Telecommunications,Personal Loan
887,45072,45071,Z44004748030615A,Abehyw Nqittw,10,SMA 1,Agency 4,Telangana,East + West India,Food and Beverage,Home Loan
153,42717,42716,P95331125601249W,Znsiru Wftvur,11,SMA 0,Agency 3,Bihar,East + Northeast India,Telecommunications,Personal Loan
1581,90999,90998,X22286806163389L,Hhgens Wigimw,18,SMA 0,Agency 6,Jharkhand,East + Central India,Energy,Personal Loan
2337,81604,81603,U75824674001101R,Imlfdl Rlzous,17,SMA 0,Agency 3,Odisha,East + Union Territories,Manufacturing,Personal Loan
129,79041,14872,D48717830389574Z,Mltclo Gxniaw,13,SMA 2,Agency 2,West Bengal,West + Northeast India,Telecommunications,Mortgage Loan
577,210528,210527,S23784760222555M,Kizosm Dqqukx,12,SMA 2,Agency 6,Sikkim,West + Central India,Finance,Car Loan
957,16674,16673,P84359074043182S,Aafpzc Unyxxn,16,SMA 2,Agency 1,Andaman and Nicobar Islands,West + Union Territories,Telecommunications,Consumer Durable Loan
209,34092,34091,B39160249747807Y,Giaqve Mezbgz,19,SMA 1,Agency 8,Goa,Northeast + Central India,Automotive,Consumer Durable Loan
1217,65989,65988,U21385862781646C,Gsptvq Sikuvc,13,SMA 2,Agency 7,Gujarat,Northeast + Union Territories,Technology,Business Loan
1341,209278,171982,W22384326008356E,Krpjjz Ynicgt,19,SMA 1,Agency 5,Maharashtra,Central + Union Territories,Retail,Home Loan
1797,13862,13861,B29379709607198R,Fkpgyt Vimcvc,19,SMA 0,Agency 5,Dadra and Nagar Haveli and Daman and Diu,North + East India,Finance,Personal Loan
521,201692,159519,G59516945976329Z,Seuiyo Rfmxhc,15,SMA 2,Agency 3,Arunachal Pradesh,North + West India,Food and Beverage,Education Loan
2410,226801,68362,B48318163442784U,Cptboa Caypwj,10,SMA 0,Agency 8,Assam,North + Northeast India,Manufacturing,Home Loan
718,12110,12109,K14500273003281X,Ekxbwo Hysahw,16,SMA 2,Agency 7,Manipur,North + Central India,Telecommunications,Education Loan
1750,25756,25755,A79448775208636V,Szxsiy Ipejad,15,SMA 0,Agency 7,Meghalaya,North + Union Territories,Technology,Car Loan
479,88056,88055,R73124714324744R,Zsiyhi Ppdjjy,18,SMA 2,Agency 2,Mizoram,South + East India,Automotive,Loan Against Property
990,121047,3204,I99036398153063U,Uivrdg Wdovda,14,SMA 1,Agency 5,Nagaland,South + West India,Energy,Business Loan
2128,241323,221733,A78911974687464D,Lleoey Yaqwmj,13,SMA 0,Agency 1,Tripura,South + Northeast India,Healthcare,Gold Loan
1455,180234,80555,P27086094685515F,Nmnsls Dpytpd,14,SMA 2,Agency 2,and the hill states of Himachal Pradesh,South + Central India,Healthcare,Personal Loan
1186,243854,122627,E41473854506999H,Vksfla Pdsdjz,14,SMA 0,Agency 7,Tripura,South + Union Territories,Manufacturing,Gold Loan
1479,41607,41606,Y15240352427549N,Eyubmz Coiwnk,15,SMA 1,Agency 5,and Sikkim,East + West India,Food and Beverage,Mortgage Loan
209,231018,53345,I83056482781172J,Hssrio Gjegld,15,SMA 0,Agency 8,Chhattisgarh,East + Northeast India,Automotive,Home Loan
2163,140488,71183,R28531027614694L,Guwruq Bmweot,13,SMA 0,Agency 3,Madhya Pradesh,East + Central India,Food and Beverage,Gold Loan
1253,101251,101250,S67137343792442N,Mgosgh Hifkcp,11,SMA 0,Agency 4,Andaman and Nicobar Islands,East + Union Territories,Healthcare,Personal Loan
259,228537,10915,T84046998417411O,Njduyh Ntlvcy,11,SMA 0,Agency 1,Chandigarh,West + Northeast India,Manufacturing,Personal Loan
753,126522,97123,B22248566522796X,Ggyokb Ptkocc,11,SMA 2,Agency 2,Dadra and Nagar Haveli and Daman and Diu,West + Central India,Retail,Loan Against Property
2279,231411,7203,U19081584012135N,Qfrthg Vhlaxn,16,SMA 2,Agency 5,Lakshadweep,West + Union Territories,Telecommunications,Mortgage Loan
1687,23585,23584,O10547951720960P,Utmzid Dvlvbq,17,SMA 1,Agency 5,Puducherry,Northeast + Central India,Automotive,Overdraft Facility
1496,60873,60872,K27224054067522A,Zsoxxk Ndqked,18,SMA 2,Agency 5,Delhi,Northeast + Union Territories,Pharmaceuticals,Education Loan
1970,8171,8170,N68258685038279J,Jfpxly Gsncbc,12,SMA 1,Agency 6,Haryana,Central + Union Territories,Energy,Consumer Durable Loan
1121,22520,22519,K35990612250864Q,Vupjni Mftkgo,13,SMA 1,Agency 6,Himachal Pradesh,North + East India,Food and Beverage,Consumer Durable Loan
545,28388,28387,F91664941649020Q,Jvqgpp Hbtifz,16,SMA 0,Agency 5,Jammu and Kashmir,North + West India,Pharmaceuticals,Overdraft Facility
178,35182,35181,Q66979244440270U,Mbpzxe Uosrbw,14,SMA 2,Agency 8,Punjab,North + Northeast India,Finance,Consumer Durable Loan
1893,79650,76125,C50932086556869L,Jdvcfa Yogfto,20,SMA 0,Agency 6,Rajasthan,North + Central India,Automotive,Loan Against Property
1816,129998,129997,E33852886455123M,Pnssnt Hrxgim,20,SMA 1,Agency 2,Uttar Pradesh,North + Union Territories,Manufacturing,Consumer Durable Loan
1602,214031,214030,A35057644246268R,Numrck Klqkzo,19,SMA 2,Agency 8,Uttarakhand,South + East India,Pharmaceuticals,Mortgage Loan
612,129641,64527,Z84191926489184J,Vnktvl Dcqhzo,13,SMA 0,Agency 5,Andhra Pradesh,South + West India,Pharmaceuticals,Loan Against Property
1796,136265,62349,M76212404687502B,Kwizoq Eftvdp,18,SMA 0,Agency 3,Karnataka,South + Northeast India,Energy,Overdraft Facility
2244,89877,89876,O84090266547623B,Azqboa Xalzwg,20,SMA 1,Agency 1,Kerala,South + Central India,Manufacturing,Loan Against Property
1224,148531,148530,G44482881612211K,Bfccat Xchplb,13,SMA 2,Agency 7,Tamil Nadu,South + Union Territories,Automotive,Personal Loan
503,27905,27904,I58011962552295I,Dfdqdj Rqlsni,20,SMA 2,Agency 3,Telangana,East + West India,Energy,Business Loan
760,184856,89403,S85971808539956X,Uchhqx Oxlljm,19,SMA 2,Agency 7,Bihar,East + Northeast India,Finance,Car Loan
1492,216005,16918,J14803452756003Q,Lojcyh Bctrsq,12,SMA 2,Agency 7,Jharkhand,East + Central India,Telecommunications,Home Loan
213,232938,232937,I81727390103638G,Fbfign Eehelh,13,SMA 2,Agency 5,Odisha,East + Union Territories,Telecommunications,Business Loan
2471,112929,112928,Y47700174376729V,Pmtxik Bggarz,12,SMA 0,Agency 2,West Bengal,West + Northeast India,Technology,Mortgage Loan
418,165897,105759,H19453799798515E,Iwmjtk Gfaetl,12,SMA 2,Agency 3,Sikkim,West + Central India,Food and Beverage,Business Loan
620,175974,175973,L89620949921289U,Jffcfm Akjqew,13,SMA 2,Agency 5,Andaman and Nicobar Islands,West + Union Territories,Telecommunications,Mortgage Loan
2499,105194,6614,I16956045554541X,Rscomd Hotfri,16,SMA 0,Agency 6,Goa,Northeast + Central India,Retail,Loan Against Property
389,234616,56589,H53208310683456O,Ttwpoo Sxzliz,15,SMA 2,Agency 2,Gujarat,Northeast + Union Territories,Manufacturing,Home Loan
273,100428,100427,A94882591424080Q,Vvjvvs Itcvdo,15,SMA 0,Agency 6,Maharashtra,Central + Union Territories,Pharmaceuticals,Gold Loan
1092,190790,51443,H53718515692374D,Myugoi Yailhh,12,SMA 0,Agency 3,Dadra and Nagar Haveli and Daman and Diu,North + East India,Automotive,Loan Against Property
1683,107479,107478,F59980655891427F,Yjhpjo Tcbudd,13,SMA 2,Agency 7,Arunachal Pradesh,North + West India,Telecommunications,Loan Against Property
1796,127916,104572,I98951626139278P,Kpeoep Aqzrlx,10,SMA 0,Agency 1,Assam,North + Northeast India,Automotive,Car Loan
297,160009,160008,M60288015162759Y,Ahhgku Mherzl,11,SMA 0,Agency 1,Manipur,North + Central India,Retail,Education Loan
